,Original Title Text,Normalized Title,Original Description Text,Normalized Description,Original Author Text,Normalized Author
546,Brazil launches $204 million drive to restore Amazon rainforest,"['brazil', 'launch', '204', 'million', 'drive', 'restor', 'amazon', 'rainforest']","Brazil's national development bank (BNDES) on Saturday launched an effort to restore degraded or destroyed woodland amounting to 60,000 square km (23,160 square miles) - an area nearly the size of Latvia - in the Amazon rainforest by 2030.","['brazil', 'nation', 'develop', 'bank', 'bnde', 'saturday', 'launch', 'effort', 'restor', 'degrad', 'destroy', 'woodland', 'amount', 'squar', 'km', 'squar', 'mile', 'area', 'nearli', 'size', 'latvia', 'amazon', 'rainforest', '2030']",Steven Grattan,"['steven', 'grattan']"
547,Man shot by Elk Grove Village police outside family home identified as grieving family hires lawyers,"['man', 'shot', 'elk', 'grove', 'villag', 'polic', 'outsid', 'famili', 'home', 'identifi', 'griev', 'famili', 'hire', 'lawyer']","A Cook County man fatally shot by police in the northwest suburbs Friday afternoon has been identified as Jack Murray, 24.","['cook', 'counti', 'man', 'fatal', 'shot', 'polic', 'northwest', 'suburb', 'friday', 'afternoon', 'identifi', 'jack', 'murray', '24']",Ilana Arougheti,"['ilana', 'arougheti']"
548,"Review: Angel Olsen keeps it real and heartfelt in her concert at Thalia Hall, with opener Kara Jackson","['review', 'angel', 'olsen', 'keep', 'real', 'heartfelt', 'concert', 'thalia', 'hall', 'open', 'kara', 'jackson']",Call it kismet that Angel Olsen began the first of her sold-out three-night stand in Chicago days after Merriam-Webster named “authentic” the word of the year.,"['call', 'kismet', 'angel', 'olsen', 'began', 'first', 'stand', 'chicago', 'day', 'name', 'authent', 'word', 'year']",Bob Gendron,"['bob', 'gendron']"
549,UAE's Masdar to develop 150 MW solar project in Angola,"['uae', 'masdar', 'develop', '150', 'mw', 'solar', 'project', 'angola']","Abu Dhabi Future Energy Company, known as Masdar, is planning to develop a 150 megawatt solar power project in Angola to provide renewable energy to 90,000 homes and support economic growth, including jobs, the UAE state news agency WAM said on Saturday.","['abu', 'dhabi', 'futur', 'energi', 'compani', 'known', 'masdar', 'plan', 'develop', '150', 'megawatt', 'solar', 'power', 'project', 'angola', 'provid', 'renew', 'energi', 'home', 'support', 'econom', 'growth', 'includ', 'job', 'uae', 'state', 'news', 'agenc', 'wam', 'said', 'saturday']",Reuters,['reuter']
550,"Landmarks: Journey of Marquette, Jolliet gets a modern update with ‘Oregon Trail’ type game at Isle a la Cache","['landmark', 'journey', 'marquett', 'jolliet', 'get', 'modern', 'updat', 'oregon', 'trail', 'type', 'game', 'isl', 'la', 'cach']",The 350th anniversary of the expedition of Marquette and Jolliet is being marked in Will County with a program involving an Oregon Trail-style game.,"['350th', 'anniversari', 'expedit', 'marquett', 'jolliet', 'mark', 'counti', 'program', 'involv', 'oregon', 'game']",Paul Eisenberg,"['paul', 'eisenberg']"
551,WALMART Joinis Advertising Exodus...,"['walmart', 'joini', 'advertis', 'exodu']","Retailer says its halt isn’t a boycott, but due to poor performance","['retail', 'say', 'halt', 'boycott', 'due', 'poor', 'perform']",wsj,['wsj']
552,Need Job? Smallest Employers Have Record Openings...,"['need', 'job', 'smallest', 'employ', 'record', 'open']",Available positions at establishments with fewer than 10 workers rose almost 20% in recent months,"['avail', 'posit', 'establish', 'fewer', '10', 'worker', 'rose', 'almost', '20', 'recent', 'month']",wsj,['wsj']
553,"Trump's Second-Term Plans: Anti-'Woke' University, 'Freedom Cities'...","['trump', 'plan', 'univers', 'citi']","Former president wants more active government, upending GOP orthodoxy","['former', 'presid', 'want', 'activ', 'govern', 'upend', 'gop', 'orthodoxi']",wsj,['wsj']
554,"South Chicago man charged in shooting of 9-month-old girl, cops said","['south', 'chicago', 'man', 'charg', 'shoot', 'girl', 'cop', 'said']","A 23-year-old man was charged with attempt murder in the shooting of a 9-month-old girl Tuesday in the Washington Park neighborhood, Chicago police said.","['man', 'charg', 'attempt', 'murder', 'shoot', 'girl', 'tuesday', 'washington', 'park', 'neighborhood', 'chicago', 'polic', 'said']",Deanese Williams-Harris,['deanes']
555,US targets oil and natural gas industry’s role in global warming with new rule on methane emissions,"['u', 'target', 'oil', 'natur', 'ga', 'industri', 'role', 'global', 'warm', 'new', 'rule', 'methan', 'emiss']","The Biden administration on Saturday issued a final rule aimed at reducing methane emissions, targeting the U.S. oil and natural gas industry for its role in global warming as President Joe Biden seeks to advance his climate legacy.","['biden', 'administr', 'saturday', 'issu', 'final', 'rule', 'aim', 'reduc', 'methan', 'emiss', 'target', 'oil', 'natur', 'ga', 'industri', 'role', 'global', 'warm', 'presid', 'joe', 'biden', 'seek', 'advanc', 'climat', 'legaci']",Matthew Daly,"['matthew', 'dali']"
556,Developing nations press rich world to better fight climate change at U.N. climate summit,"['develop', 'nation', 'press', 'rich', 'world', 'better', 'fight', 'climat', 'chang', 'climat', 'summit']",Countries once colonized by empires are striking back on global warming — and they have the pope’s blessing.,"['countri', 'colon', 'empir', 'strike', 'back', 'global', 'warm', 'pope', 'bless']",Jamey Keaten and Seth Borenstein,"['jamey', 'keaten', 'seth', 'borenstein']"
557,"Man wounded by gunfire from outside his residence overnight on Far South Side, Chicago police said","['man', 'wound', 'gunfir', 'outsid', 'resid', 'overnight', 'far', 'south', 'side', 'chicago', 'polic', 'said']","Shortly before 2 a.m., the victim was inside his home in the first block of West 116th Street when he heard multiple shots and felt pain. Gunfire had pierced through the front glass window and struck his elbow, police said.","['shortli', '2', 'victim', 'insid', 'home', 'first', 'block', 'west', '116th', 'street', 'heard', 'multipl', 'shot', 'felt', 'pain', 'gunfir', 'pierc', 'front', 'glass', 'window', 'struck', 'elbow', 'polic', 'said']",Deanese Williams-Harris,['deanes']
558,Impact of Amazon's climate-driven drought may last until 2026,"['impact', 'amazon', 'drought', 'may', 'last', '2026']","The Amazon rainforest's record-breaking drought hit home for Raimundo Leite de Souza one October morning, he said, when he woke to find the stream that runs behind his house had dropped nearly a foot overnight, stranding his skiff in a mudflat.","['amazon', 'rainforest', 'drought', 'hit', 'home', 'raimundo', 'leit', 'de', 'souza', 'one', 'octob', 'morn', 'said', 'woke', 'find', 'stream', 'run', 'behind', 'hous', 'drop', 'nearli', 'foot', 'overnight', 'strand', 'skiff', 'mudflat']",Brad Haynes,"['brad', 'hayn']"
559,"Pac-12 ends on a high note, but the future is much more daunting for the 2 remaining schools","['end', 'high', 'note', 'futur', 'much', 'daunt', '2', 'remain', 'school']","Now the Pac-12 becomes the Pac-2 with only Oregon State and Washington State sticking around. They were the ones left behind, and on Friday announced a six-game scheduling alliance with the Mountain West.","['becom', 'oregon', 'state', 'washington', 'state', 'stick', 'around', 'one', 'left', 'behind', 'friday', 'announc', 'schedul', 'allianc', 'mountain', 'west']",Mark Anderson,"['mark', 'anderson']"
560,World Bank to boost climate financing share to 45%,"['world', 'bank', 'boost', 'climat', 'financ', 'share', '45']","World Bank President Ajay Banga said on Friday the development lender will devote 45% of its annual financing to climate-related projects by 2025, up from a target of 35%, and extend debt repayment pauses following climate disasters.","['world', 'bank', 'presid', 'ajay', 'banga', 'said', 'friday', 'develop', 'lender', 'devot', '45', 'annual', 'financ', 'project', '2025', 'target', '35', 'extend', 'debt', 'repay', 'paus', 'follow', 'climat', 'disast']",Brajeshwar,['brajeshwar']
561,"Daywatch special edition: Our guide to celebrating the holidays, Chicago style ","['daywatch', 'special', 'edit', 'guid', 'celebr', 'holiday', 'chicago', 'style']","Good morning, Chicago. Here are some of the top stories you need to know to start your day.","['good', 'morn', 'chicago', 'top', 'stori', 'need', 'know', 'start', 'day']",Chicago Tribune staff,"['chicago', 'tribun', 'staff']"
562,"9-year-old boy critically injured after fall from third floor window in Rogers Park neighborhood, police say","['boy', 'critic', 'injur', 'fall', 'third', 'floor', 'window', 'roger', 'park', 'neighborhood', 'polic', 'say']","Shortly after 2 a.m., officers were called to an apartment complex in the 1500 block of West Jonquil Terrace where a boy fell from a window.","['shortli', '2', 'offic', 'call', 'apart', 'complex', '1500', 'block', 'west', 'jonquil', 'terrac', 'boy', 'fell', 'window']",Deanese Williams-Harris,['deanes']
563,Honda's China joint venture dismisses 900 contract workers,"['honda', 'china', 'joint', 'ventur', 'dismiss', '900', 'contract', 'worker']","Honda Motor <a href=""https://www.reuters.com/markets/companies/7267.T"" target=""_blank"">(7267.T)</a> said on Saturday it was dismissing about 900 contract workers at a joint venture in China, as Japanese automakers suffer from a rapid shift to electric vehicle…","['honda', 'motor', 'http', 'said', 'saturday', 'dismiss', '900', 'contract', 'worker', 'joint', 'ventur', 'china', 'japanes', 'automak', 'suffer', 'rapid', 'shift', 'electr']",Reuters,['reuter']
564,Digital Payments Are Having a Jolly Holiday,"['digit', 'payment', 'jolli', 'holiday']",Investors might be warming again to the growth potential of alternative ways to pay,"['investor', 'might', 'warm', 'growth', 'potenti', 'altern', 'way', 'pay']",Telis Demos,"['teli', 'demo']"
565,Pope pleads with COP28 to find breakthrough on climate change,"['pope', 'plead', 'cop28', 'find', 'breakthrough', 'climat', 'chang']","Pope Francis on Saturday called on the <a href=""https://www.reuters.com/sustainability/cop/"">U.N. climate summit</a> to strive for a essential breakthrough agreement to stem global warming that includes the elimination of fossil fuels, saying climate had ""run…","['pope', 'franci', 'saturday', 'call', 'http', 'climat', 'summit', 'strive', 'essenti', 'breakthrough', 'agreement', 'stem', 'global', 'warm', 'includ', 'elimin', 'fossil', 'fuel', 'say', 'climat']",Reuters,['reuter']
566,Column: Northwestern upsets No. 1 Purdue but still is playing the underdog despite a rare taste of March Madness,"['column', 'northwestern', 'upset', '1', 'purdu', 'still', 'play', 'underdog', 'despit', 'rare', 'tast', 'march', 'mad']","Northwestern's dream season in 2022-23 was real, and star guard Boo Buie and most of the core are back. So why haven't Chris Collins' Wildcats gotten any love nationally?","['northwestern', 'dream', 'season', 'real', 'star', 'guard', 'boo', 'buie', 'core', 'back', 'chri', 'collin', 'wildcat', 'gotten', 'love', 'nation']",Paul Sullivan,"['paul', 'sullivan']"
567,Can Michigan be beaten? Iowa is embracing its underdog role in tonight’s Big Ten championship game.,"['michigan', 'beaten', 'iowa', 'embrac', 'underdog', 'role', 'tonight', 'big', 'ten', 'championship', 'game']","Two weeks after celebrating the program’s 1,000th win and one week after beating rival Ohio State for the third straight time, Michigan is chasing a school first — its third straight outright Big Ten title.","['two', 'week', 'celebr', 'program', 'win', 'one', 'week', 'beat', 'rival', 'ohio', 'state', 'third', 'straight', 'time', 'michigan', 'chase', 'school', 'first', 'third', 'straight', 'outright', 'big', 'ten', 'titl']",Michael Marot,"['michael', 'marot']"
568,"Andre Drummond wants to contribute more for the Chicago Bulls: ‘I’m doing what I can with the minutes I get,’ the center says","['andr', 'drummond', 'want', 'contribut', 'chicago', 'bull', 'minut', 'get', 'center', 'say']",Andre Drummond is eager to play more minutes. How can the center help the Chicago Bulls snap out of their dismal start to the season?,"['andr', 'drummond', 'eager', 'play', 'minut', 'center', 'help', 'chicago', 'bull', 'snap', 'dismal', 'start', 'season']",Julia Poe,"['julia', 'poe']"
569,FACTBOX How food and agriculture contribute to climate change,"['factbox', 'food', 'agricultur', 'contribut', 'climat', 'chang']","Feeding the world is a big job, and the effort produces <a href=""https://www.reuters.com/graphics/FOOD-WASTE/METHANE/gdpzwqwqovw/"">billions of mets of emissions</a> of greenhouse gases each year - around a third of the global total.","['feed', 'world', 'big', 'job', 'effort', 'produc', 'http', 'billion', 'met', 'emiss', 'greenhous', 'gase', 'year', 'around', 'third', 'global', 'total']",Leah Douglas,"['leah', 'dougla']"
570,Should I wrap my evergreens in burlap?,"['wrap', 'evergreen', 'burlap']","An extended period of cold, sunny days in November and early December can dry out newly planted evergreens.","['extend', 'period', 'cold', 'sunni', 'day', 'novemb', 'earli', 'decemb', 'dri', 'newli', 'plant', 'evergreen']",Tim Johnson,"['tim', 'johnson']"
571,Illinois home values are booming. Here’s a look at prices throughout the state.,"['illinoi', 'home', 'valu', 'boom', 'look', 'price', 'throughout', 'state']",Search the map to see how Illinois home values compare by ZIP code.,"['search', 'map', 'see', 'illinoi', 'home', 'valu', 'compar', 'zip', 'code']",Claire Malon,"['clair', 'malon']"
572,Search average home values in Illinois counties,"['search', 'averag', 'home', 'valu', 'illinoi', 'counti']","Illinois has a vast real estate market, with average home values ranging from around $65,000 to upwards of $400,000 in counties throughout the state.","['illinoi', 'vast', 'real', 'estat', 'market', 'averag', 'home', 'valu', 'rang', 'around', 'upward', 'counti', 'throughout', 'state']",Claire Malon,"['clair', 'malon']"
573,Small town high school football team faced waves of off-field adversity on the way to becoming historic state champions,"['small', 'town', 'high', 'school', 'footbal', 'team', 'face', 'wave', 'advers', 'way', 'becom', 'histor', 'state', 'champion']","Small-town Byron won a state football title after several players' parents had died during their time at school, and in support of a boy with cancer.","['byron', 'state', 'footbal', 'titl', 'sever', 'player', 'parent', 'die', 'time', 'school', 'support', 'boy', 'cancer']",Robert McCoppin,"['robert', 'mccoppin']"
574,Letters: Those who have arrived in Chicago from south of the border are families — and they’re just like ours,"['letter', 'arriv', 'chicago', 'south', 'border', 'famili', 'like']","With the arrival of new families to Chicago, there has been a play with words to describe who they are.","['arriv', 'new', 'famili', 'chicago', 'play', 'word', 'describ']",Chicago Tribune,"['chicago', 'tribun']"
575,"Biblioracle: With the ‘Coyote v. Acme’ film adaptation, Hollywood could learn from the publishing world","['biblioracl', 'coyot', 'acm', 'film', 'adapt', 'hollywood', 'could', 'learn', 'publish', 'world']",It seems awfully dumb to have a system in which it pays more to create and bury entertainment than to share it with audiences.,"['seem', 'aw', 'dumb', 'system', 'pay', 'creat', 'buri', 'entertain', 'share', 'audienc']",John Warner,"['john', 'warner']"
576,"Defense Stocks Benefit From War, Renewing ESG Debate for Everyday Investors","['defens', 'stock', 'benefit', 'war', 'renew', 'esg', 'debat', 'everyday', 'investor']",Shares of weapons makers have outperformed the S&P 500 since Oct. 7,"['share', 'weapon', 'maker', 'outperform', 'p', '500', 'sinc', '7']",Hannah Miao,"['hannah', 'miao']"
577,Ask Amy: I had a bit of a breakdown,"['ask', 'ami', 'bit', 'breakdown']","Dear Amy: I took some time off work to attend to my mental health. When I returned, I was pretty much told I was no longer needed at the company. I was very hurt, but in reality it was probably time for me to move on.","['dear', 'ami', 'took', 'time', 'work', 'attend', 'mental', 'health', 'return', 'pretti', 'much', 'told', 'longer', 'need', 'compani', 'hurt', 'realiti', 'probabl', 'time', 'move']",Amy Dickinson,"['ami', 'dickinson']"
578,Toyota says it halts some Tianjin operations after report of weak sales,"['toyota', 'say', 'halt', 'tianjin', 'oper', 'report', 'weak', 'sale']","Toyota Motor <a href=""https://www.reuters.com/markets/companies/7203.T"" target=""_blank"">(7203.T)</a> has halted production on some ageing lines at a joint venture in China while operations continue as normal, the Japanese automaker said on Saturday after a me…","['toyota', 'motor', 'http', 'halt', 'product', 'age', 'line', 'joint', 'ventur', 'china', 'oper', 'continu', 'normal', 'japanes', 'automak', 'said', 'saturday']",Reuters,['reuter']
579,The air up there. West Aurora’s Terrence Smith punctuates double-double with seven dunks. ‘It gets us fired up.’,"['air', 'west', 'aurora', 'terrenc', 'smith', 'punctuat', 'seven', 'dunk', 'get', 'u', 'fire']","Terrence Smith made sure to shake the rim several times against Oswego, scoring 16 points and grabbing 11 rebounds in a 61-44 victory.","['terrenc', 'smith', 'made', 'sure', 'shake', 'rim', 'sever', 'time', 'oswego', 'score', '16', 'point', 'grab', '11', 'rebound', 'victori']",Paul Johnson,"['paul', 'johnson']"
580,"Northwestern stuns No. 1 Purdue for the 2nd straight season, knocking off Zach Edey and the Boilermakers 92-88 in OT","['northwestern', 'stun', '1', 'purdu', '2nd', 'straight', 'season', 'knock', 'zach', 'edey', 'boilermak', 'ot']","Boo Buie scored seven of his 31 points in overtime to help Northwestern beat Zach Edey and No. 1 Purdue for the second straight season, winning 92-88 on Friday in the Big Ten opener for each school.","['boo', 'buie', 'score', 'seven', '31', 'point', 'overtim', 'help', 'northwestern', 'beat', 'zach', 'edey', '1', 'purdu', 'second', 'straight', 'season', 'win', 'friday', 'big', 'ten', 'open', 'school']",Jay Cohen,"['jay', 'cohen']"
581,It’s a case of Da’Jha vu as Da’Jha Johnson scores 29 points to rally Hillcrest past Oak Lawn. ‘Don’t give up.’,"['case', 'da', 'jha', 'vu', 'da', 'jha', 'johnson', 'score', '29', 'point', 'ralli', 'hillcrest', 'past', 'oak', 'lawn', 'give']",Da'Jha Johnson scored 29 points Friday as Hillcrest rallied for a 58-55 win over host Oak Lawn in a South Suburban Conference crossover.,"['johnson', 'score', '29', 'point', 'friday', 'hillcrest', 'ralli', 'win', 'host', 'oak', 'lawn', 'south', 'suburban', 'confer', 'crossov']",Gregg Voss,"['gregg', 'voss']"
582,"Photos: Northwestern 92, No. 1 Purdue 88 (OT)","['photo', 'northwestern', '92', '1', 'purdu', '88', 'ot']","Photos from Northwestern's 92-88 victory against No. 1 Purdue on Friday, Dec. 1, 2023, at Welsh-Ryan Arena in Evanston.","['photo', 'northwestern', 'victori', '1', 'purdu', 'friday', '1', '2023', 'arena', 'evanston']",John Kim,"['john', 'kim']"
583,"A Divorce With Apple, Internal Strife: How Goldman’s Main Street Bet Failed","['divorc', 'appl', 'intern', 'strife', 'goldman', 'main', 'street', 'bet', 'fail']","The Wall Street firm was looking to get out of consumer lending, once a big area of expansion. But Apple dumped it first.","['wall', 'street', 'firm', 'look', 'get', 'consum', 'lend', 'big', 'area', 'expans', 'appl', 'dump', 'first']",AnnaMaria Andriotis,"['annamaria', 'andrioti']"
584,"Basketball scores for the Southland, Aurora, Elgin, Naperville and Lake County","['basketbal', 'score', 'southland', 'aurora', 'elgin', 'napervil', 'lake', 'counti']","Results and highlights of high schools and local colleges from the Southland and Aurora, Elgin, Naperville and Lake County coverage areas.","['result', 'highlight', 'high', 'school', 'local', 'colleg', 'southland', 'aurora', 'elgin', 'napervil', 'lake', 'counti', 'coverag', 'area']",From Staff Reports,"['staff', 'report']"
585,Explainer: Can technology solve the global climate crisis?,"['explain', 'technolog', 'solv', 'global', 'climat', 'crisi']",Governments and investors are pouring billions of dollars into emerging technologies to combat global warming in long-shot bets that entrepreneurship can help lead the way to a climate-friendly world.,"['govern', 'investor', 'pour', 'billion', 'dollar', 'emerg', 'technolog', 'combat', 'global', 'warm', 'bet', 'entrepreneurship', 'help', 'lead', 'way', 'world']",Timothy Gardner,"['timothi', 'gardner']"
586,"From Nicaragua with love. Elijah Allen, who doesn’t speak English, settles in for Bloom. ‘God sent him to us.’","['nicaragua', 'love', 'elijah', 'allen', 'speak', 'english', 'settl', 'bloom', 'god', 'sent', 'u']",Elijah Allen scored 11 points and had 10 rebounds Friday as Bloom knocked off Thornton for a 65-54 Southland Athletic Conference victory.,"['elijah', 'allen', 'score', '11', 'point', '10', 'rebound', 'friday', 'bloom', 'knock', 'thornton', 'southland', 'athlet', 'confer', 'victori']",Jeff Vorva,"['jeff', 'vorva']"
587,US FDA gives second approval to Eli Lilly's drug for type of blood cancer,"['u', 'fda', 'give', 'second', 'approv', 'eli', 'lilli', 'drug', 'type', 'blood', 'cancer']","Eli Lilly <a href=""https://www.reuters.com/markets/companies/LLY.N"" target=""_blank"">(LLY.N)</a> said on Friday the U.S. Food and Drug Administration (FDA) gave a second approval for its drug Jaypirca, which is used to treat a form of blood cancer.","['eli', 'lilli', 'http', 'said', 'friday', 'food', 'drug', 'administr', 'fda', 'gave', 'second', 'approv', 'drug', 'jaypirca', 'use', 'treat', 'form', 'blood', 'cancer']",Reuters,['reuter']
588,"Chemicals being removed from Brighton Park migrant camp, environmental report says; city concludes site safe for habitation","['chemic', 'remov', 'brighton', 'park', 'migrant', 'camp', 'environment', 'report', 'say', 'citi', 'conclud', 'site', 'safe', 'habit']",A long-awaited environmental assessment on Mayor Brandon Johnson’s proposed tent camp for migrants has been released.,"['environment', 'ass', 'mayor', 'brandon', 'johnson', 'propos', 'tent', 'camp', 'migrant', 'releas']","Alice Yin, A.D. Quig","['alic', 'yin', 'quig']"
589,Elk Grove Village police shoot person while responding to report of man with knife,"['elk', 'grove', 'villag', 'polic', 'shoot', 'person', 'respond', 'report', 'man', 'knife']",The Elk Grove Village police released few details regarding the shooting.,"['elk', 'grove', 'villag', 'polic', 'releas', 'detail', 'regard', 'shoot']",Caroline Kubzansky,"['carolin', 'kubzanski']"
590,"Inmate who stabbed Derek Chauvin 22 times is charged with attempted murder, prosecutors say","['inmat', 'stab', 'derek', 'chauvin', '22', 'time', 'charg', 'attempt', 'murder', 'prosecutor', 'say']","Derek Chauvin was stabbed in prison 22 times by a former gang leader and one-time FBI informant who told investigators he targeted the ex-Minneapolis police officer because of his notoriety for killing George Floyd, federal prosecutors said Friday.","['derek', 'chauvin', 'stab', 'prison', '22', 'time', 'former', 'gang', 'leader', 'fbi', 'inform', 'told', 'investig', 'target', 'polic', 'offic', 'notorieti', 'kill', 'georg', 'floyd', 'feder', 'prosecutor', 'said', 'friday']",Michael R. Sisak and Michael Balsamo,"['michael', 'sisak', 'michael', 'balsamo']"
591,"Man with gun, $60,000 worth of drugs arrested at contentious West Loop encampment, police say","['man', 'gun', 'worth', 'drug', 'arrest', 'contenti', 'west', 'loop', 'encamp', 'polic', 'say']",The site of the arrest is at the center of a political fight between Ald. Bill Conway and Mayor Brandon Johnson's administration.,"['site', 'arrest', 'center', 'polit', 'fight', 'ald', 'bill', 'conway', 'mayor', 'brandon', 'johnson', 'administr']",Jake Sheridan,"['jake', 'sheridan']"
592,Pharrell Williams Brings Louis Vuitton to Hong Kong for Fashion Show,"['pharrel', 'william', 'bring', 'loui', 'vuitton', 'hong', 'kong', 'fashion', 'show']","With a splashy fashion show in Hong Kong featuring Chinese A-listers, the brand is projecting confidence in one of the world’s largest markets for luxury goods","['splashi', 'fashion', 'show', 'hong', 'kong', 'featur', 'chine', 'brand', 'project', 'confid', 'one', 'world', 'largest', 'market', 'luxuri', 'good']",Nick Kostov,"['nick', 'kostov']"
593,"Denny Laine, founding member of the Moody Blues and Paul McCartney’s Wings, dead at 79","['denni', 'lain', 'found', 'member', 'moodi', 'blue', 'paul', 'mccartney', 'wing', 'dead', '79']","Denny Laine, a British singer, songwriter and guitarist who performed in an early, pop-oriented version of the Moody Blues and was later Paul McCartney’s longtime sideman in the ex-Beatle’s solo band Wings, has died at age 79.","['denni', 'lain', 'british', 'singer', 'songwrit', 'guitarist', 'perform', 'earli', 'version', 'moodi', 'blue', 'later', 'paul', 'mccartney', 'longtim', 'sideman', 'solo', 'band', 'wing', 'die', 'age', '79']",Associated Press Staff,"['associ', 'press', 'staff']"
594,Salesforce Tower opens at Chicago’s Wolf Point,"['salesforc', 'tower', 'open', 'chicago', 'wolf', 'point']","Located along the Chicago River at the Wolf Point site near the Merchandise Mart, Salesforce Tower is one of the few major office buildings to be developed in the city during the pandemic.","['locat', 'along', 'chicago', 'river', 'wolf', 'point', 'site', 'near', 'merchandis', 'mart', 'salesforc', 'tower', 'one', 'major', 'offic', 'build', 'develop', 'citi', 'pandem']",Robert Channick,"['robert', 'channick']"
595,"Cuban Intel Recruits Driven by Ideology, Not Money...","['cuban', 'intel', 'recruit', 'driven', 'ideolog', 'money']",Espionage case of former U.S. ambassador sheds light on officials-turned-spies swayed by sympathy for Cuba’s revolution,"['espionag', 'case', 'former', 'ambassador', 'shed', 'light', 'sway', 'sympathi', 'cuba', 'revolut']",wsj,['wsj']
596,Man gets new trial after being convicted of murder based on blind witness’s testimony,"['man', 'get', 'new', 'trial', 'convict', 'murder', 'base', 'blind', 'wit', 'testimoni']",A Cook County judge has overturned the murder conviction of a man who was found guilty primarily based on the testimony of an eyewitness who turned out to be legally blind.,"['cook', 'counti', 'judg', 'overturn', 'murder', 'convict', 'man', 'found', 'guilti', 'primarili', 'base', 'testimoni', 'eyewit', 'turn', 'legal', 'blind']",Christy Gutowski,"['christi', 'gutowski']"
597,"Driver involved in fatal Oak Lawn crash found guilty of traffic violation, sentenced $750 and community service","['driver', 'involv', 'fatal', 'oak', 'lawn', 'crash', 'found', 'guilti', 'traffic', 'violat', 'sentenc', '750', 'commun', 'servic']","Murod Kurdi's mother, Fadia Muhamad, has a wrongful death lawsuit pending in Cook County Circuit Court against the driver and the Oak Lawn bar where she was served.","['murod', 'kurdi', 'mother', 'fadia', 'muhamad', 'wrong', 'death', 'lawsuit', 'pend', 'cook', 'counti', 'circuit', 'court', 'driver', 'oak', 'lawn', 'bar', 'serv']",Hank Sanders,"['hank', 'sander']"
598,Baseball Hall of Fame to feature retired players in Memorial Day weekend tribute to Negro Leagues East-West All-Star Game,"['basebal', 'hall', 'fame', 'featur', 'retir', 'player', 'memori', 'day', 'weekend', 'tribut', 'negro', 'leagu', 'game']",The Negro Leagues East-West All-Star Game began at Chicago’s Comiskey Park in September 1933. May's tribute game will coincide with the opening of the Hall’s “Souls of the Game: Voices of Black Baseball” exhibit.,"['negro', 'leagu', 'game', 'began', 'chicago', 'comiskey', 'park', 'septemb', '1933', 'may', 'tribut', 'game', 'coincid', 'open', 'hall', 'soul', 'game', 'voic', 'black', 'basebal', 'exhibit']",Ronald Blum,"['ronald', 'blum']"
599,Family members of incarcerated people call on State’s Attorney Kim Foxx to investigate convictions related to former CPD detective,"['famili', 'member', 'incarcer', 'peopl', 'call', 'state', 'attorney', 'kim', 'foxx', 'investig', 'convict', 'relat', 'former', 'cpd', 'detect']",Family members who say their loved ones were wrongfully convicted due to misconduct by a former Chicago Police detective on Tuesday called on Cook County State’s Attorney Kim Foxx to launch an investigation,"['famili', 'member', 'say', 'love', 'one', 'wrong', 'convict', 'due', 'misconduct', 'former', 'chicago', 'polic', 'detect', 'tuesday', 'call', 'cook', 'counti', 'state', 'attorney', 'kim', 'foxx', 'launch', 'investig']",Madeline Buckley,"['madelin', 'buckley']"
600,NCAA's Radical Proposal to Pay College Athletes...,"['ncaa', 'radic', 'propos', 'pay', 'colleg', 'athlet']","Amid pressure to modernize, NCAA President Charlie Baker outlines a new model where Division I schools could pay athletes through endorsements and educational trusts","['amid', 'pressur', 'modern', 'ncaa', 'presid', 'charli', 'baker', 'outlin', 'new', 'model', 'divis', 'school', 'could', 'pay', 'athlet', 'endors', 'educ', 'trust']",wsj,['wsj']
601,UPDATE: Supreme Court Wary of Remaking Income Tax...,"['updat', 'suprem', 'court', 'wari', 'remak', 'incom', 'tax']",Justices hearing arguments over whether unrealized income could be taxed appear to shy away from broad ruling,"['justic', 'hear', 'argument', 'whether', 'unreal', 'incom', 'could', 'tax', 'appear', 'shi', 'away', 'broad', 'rule']",wsj,['wsj']
602,"Park Ridge, Des Plaines teens killed in car crash near Southern Illinois University in Carbondale: police","['park', 'ridg', 'de', 'plain', 'teen', 'kill', 'car', 'crash', 'near', 'southern', 'illinoi', 'univers', 'carbondal', 'polic']",Superintendent Ken Wallace led a moment of silence for 19-year-old Wolfgang “Wolf” Gustaveson.,"['superintend', 'ken', 'wallac', 'led', 'moment', 'silenc', 'wolfgang', 'wolf', 'gustaveson']",Richard Requena,"['richard', 'requena']"
603,How Long Can the ‘Magnificent Seven’ Stocks Hold the Line?,"['long', 'magnific', 'seven', 'stock', 'hold', 'line']","With portfolios concentrated in a handful of expensive stocks, a few company-specific outcomes could have seismic consequences","['portfolio', 'concentr', 'hand', 'expens', 'stock', 'outcom', 'could', 'seismic', 'consequ']",Jon Sindreu,"['jon', 'sindreu']"
604,Boeing delivered 46 narrowbody 737s in November - sources,"['boe', 'deliv', '46', 'narrowbodi', '737', 'novemb', 'sourc']","Boeing <a href=""https://www.reuters.com/markets/companies/BA.N"" target=""_blank"">(BA.N)</a> delivered 46 narrowbody 737s in November, sources told Reuters on Tuesday.","['boe', 'http', 'deliv', '46', 'narrowbodi', '737', 'novemb', 'sourc', 'told', 'reuter', 'tuesday']",Reuters,['reuter']
